occlusion,C,98.32
occlusion,C,78.63
occlusion,C,99.09
occlusion,C,99.80
occlusion,C,92.80
occlusion,C,97.91
occlusion,C,75.73
occlusion,C,91.43
occlusion,Uncertain,58.43
occlusion,C,71.30
occlusion,C,80.97
occlusion,Uncertain,55.36
occlusion,C,91.57
occlusion,C,96.52
occlusion,C,99.51
occlusion,C,99.91
occlusion,C,99.65
occlusion,C,95.44
occlusion,C,97.10
occlusion,C,88.69
occlusion,C,96.90
occlusion,C,92.61
occlusion,C,86.64
occlusion,C,99.60
occlusion,C,98.15
occlusion,C,98.69
occlusion,C,91.03
occlusion,C,94.00
occlusion,C,77.65
occlusion,C,99.71
occlusion,C,99.84
occlusion,C,98.68
occlusion,C,90.12
occlusion,C,89.73
occlusion,C,69.86
occlusion,C,96.04
occlusion,Uncertain,44.53
occlusion,D,94.26
occlusion,D,98.15
occlusion,D,98.83
occlusion,D,89.33
occlusion,D,96.05
occlusion,D,93.18
occlusion,D,97.29
occlusion,D,95.69
occlusion,D,98.65
occlusion,D,93.19
occlusion,D,91.81
occlusion,D,99.07
occlusion,I,78.87
occlusion,J,90.37
normal,A,99.95
normal,Uncertain,40.37
normal,D,93.27
normal,D,90.82
normal,Uncertain,49.69
normal,Uncertain,38.03
normal,Uncertain,46.56
normal,Uncertain,41.53
normal,Uncertain,49.33
normal,Uncertain,44.68
normal,A,62.65
normal,J,67.51
normal,J,60.85
normal,A,67.86
normal,J,66.43
normal,Uncertain,51.25
normal,A,63.61
normal,Uncertain,56.70
normal,Uncertain,54.07
normal,J,63.19
normal,A,69.14
normal,A,99.57
normal,A,99.98
normal,A,92.77
normal,B,98.28
normal,B,99.97
normal,B,66.43
normal,B,99.63
normal,Uncertain,50.91
normal,B,82.84
normal,B,99.99
normal,A,97.19
normal,B,65.92
normal,B,99.99
normal,B,99.30
normal,B,99.96
normal,B,99.39
normal,B,99.81
normal,B,99.86
normal,B,99.98
normal,B,100.00
normal,B,99.88
normal,B,99.99
normal,B,62.65
normal,A,99.99
normal,A,98.39
normal,A,96.84
normal,A,82.08
normal,B,99.10
normal,A,75.54
normal,B,91.35
normal,B,65.06
normal,A,93.49
normal,B,99.98
normal,B,100.00
normal,B,99.79
normal,B,100.00
normal,B,100.00
normal,B,100.00
normal,B,100.00
normal,B,100.00
normal,B,99.42
normal,B,99.99
normal,B,100.00
normal,B,99.95
normal,B,99.93
normal,B,99.97
normal,B,99.99
normal,B,100.00
normal,B,100.00
normal,B,99.97
normal,B,100.00
normal,B,99.98
normal,B,100.00
normal,B,100.00
normal,B,99.84
normal,B,99.98
normal,B,98.27
normal,B,100.00
normal,B,100.00
normal,B,99.82
normal,B,99.95
normal,B,99.94
normal,B,99.88
normal,B,99.87
normal,B,97.73
normal,B,99.70
normal,B,99.42
normal,B,99.67
normal,B,99.99
normal,B,100.00
normal,B,99.99
normal,B,100.00
normal,B,99.93
normal,B,99.91
normal,E,66.85
normal,Uncertain,51.70
normal,Uncertain,46.13
normal,Uncertain,57.29
normal,B,98.77
normal,B,98.97
normal,A,72.00
normal,A,96.71
normal,A,69.01
normal,H,62.28
normal,J,86.83
normal,F,97.95
normal,B,63.60
normal,J,98.91
normal,J,99.54
normal,J,98.52
normal,A,75.94
normal,F,85.94
normal,F,99.48
normal,J,94.64
normal,J,99.67
normal,J,98.57
normal,J,74.76
normal,J,81.76
normal,H,79.26
normal,Uncertain,52.95
normal,A,78.41
normal,J,91.65
normal,Uncertain,36.21
normal,A,98.42
normal,J,99.37
normal,J,90.49
normal,J,75.34
normal,A,92.63
normal,J,99.95
normal,A,99.27
normal,A,98.34
normal,A,95.23
normal,A,85.67
normal,Uncertain,47.23
normal,Uncertain,57.29
normal,Uncertain,52.88
normal,A,91.84
normal,A,99.74
normal,E,88.56
normal,E,81.33
normal,E,93.48
normal,E,90.65
normal,F,69.72
normal,A,91.77
normal,A,98.85
normal,A,96.71
normal,A,96.36
normal,A,97.45
normal,A,94.07
normal,F,87.41
normal,F,63.59
normal,A,70.97
normal,D,68.39
normal,Uncertain,45.42
normal,A,88.97
normal,D,88.28
normal,D,74.55
normal,A,65.31
normal,D,92.15
normal,D,66.55
normal,A,87.05
normal,D,67.70
normal,A,83.82
normal,A,91.79
normal,A,68.50
normal,A,71.06
normal,A,91.45
normal,A,96.69
normal,A,94.37
normal,Uncertain,58.95
normal,A,90.39
normal,J,93.00
normal,J,98.71
normal,J,62.62
normal,J,86.75
normal,G,69.17
normal,G,84.22
normal,J,84.55
normal,Uncertain,44.92
normal,G,62.02
normal,J,99.36
normal,J,99.81
normal,J,99.99
normal,J,99.96
normal,J,99.90
normal,J,99.79
normal,J,99.85
normal,J,99.67
normal,J,99.80
normal,J,99.64
normal,J,97.60
normal,J,99.36
normal,J,96.68
normal,J,93.20
normal,J,94.36
normal,J,94.83
normal,J,65.13
normal,Uncertain,36.62
normal,Uncertain,55.30
normal,J,71.56
normal,Uncertain,40.61
normal,Uncertain,52.33
normal,Uncertain,38.16
normal,J,66.69
normal,J,74.80
normal,J,60.45
normal,J,96.99
normal,J,97.17
normal,J,80.83
normal,J,98.45
normal,J,60.64
normal,J,61.34
normal,J,96.50
normal,J,99.38
normal,J,99.67
normal,J,95.24
normal,J,93.87
normal,J,61.39
normal,J,99.12
normal,J,99.65
normal,J,99.40
normal,J,96.56
normal,J,93.59
normal,J,97.85
normal,J,98.34
normal,J,98.12
normal,J,97.71
normal,J,99.04
normal,J,96.02
normal,J,98.17
normal,J,98.56
normal,J,99.98
normal,J,99.71
normal,Uncertain,56.47
normal,J,71.31
normal,Uncertain,55.00
normal,J,99.74
normal,Uncertain,56.56
normal,Uncertain,50.17
normal,J,98.19
normal,J,97.59
normal,J,95.80
normal,J,99.10
normal,J,95.95
normal,D,79.25
normal,J,99.62
normal,B,70.98
normal,Uncertain,47.52
normal,A,85.99
normal,A,90.54
dim,B,94.08
dim,B,99.65
dim,J,63.97
dim,Uncertain,30.46
dim,H,74.01
dim,J,72.44
dim,Uncertain,38.50
dim,Uncertain,46.52
dim,Uncertain,50.98
dim,Uncertain,53.15
dim,Uncertain,48.84
dim,J,97.76
dim,J,79.85
dim,J,99.78
dim,J,76.29
dim,I,91.87
dim,J,97.80
occlusion,J,89.31
occlusion,J,98.49
occlusion,J,99.87
occlusion,J,100.00
occlusion,D,80.16
occlusion,D,97.64
occlusion,D,99.21
occlusion,J,85.43
occlusion,J,96.02
rotate,B,90.71
rotate,Uncertain,50.00
rotate,J,89.88
rotate,J,73.11
rotate,A,83.00
rotate,A,78.31
rotate,A,99.81
rotate,A,99.97
rotate,B,99.01
rotate,Uncertain,46.81
rotate,J,93.70
rotate,J,99.83
rotate,J,96.75
rotate,Uncertain,56.66
rotate,J,78.11
rotate,J,99.81
rotate,Uncertain,55.64
rotate,J,78.64
rotate,Uncertain,59.75
rotate,Uncertain,48.65
rotate,Uncertain,54.18
rotate,Uncertain,52.81
rotate,Uncertain,44.94
rotate,Uncertain,45.82
rotate,Uncertain,37.85
rotate,Uncertain,57.98
rotate,C,76.88
rotate,G,92.83
rotate,J,99.72
rotate,J,99.95
rotate,B,78.38
rotate,H,75.66
rotate,E,72.99
rotate,Uncertain,53.76
rotate,G,74.33
rotate,Uncertain,50.16
normal,Uncertain,52.23
normal,J,90.86
normal,B,97.08
normal,F,67.83
normal,B,97.00
normal,B,96.48
normal,B,98.99
normal,B,91.42
normal,J,80.49
normal,B,89.90
normal,B,99.55
normal,B,99.11
normal,B,99.27
normal,B,99.47
normal,B,79.85
normal,J,95.53
normal,J,97.33
normal,J,69.56
normal,J,62.70
normal,J,80.10
normal,J,99.93
normal,J,98.63
normal,J,89.59
normal,J,92.41
normal,J,60.52
normal,J,98.75
normal,J,99.46
normal,J,98.81
normal,J,99.68
normal,J,99.57
normal,J,91.18
normal,J,98.20
normal,J,96.42
normal,J,97.08
normal,J,99.91
normal,J,99.96
normal,J,99.85
normal,J,100.00
normal,J,99.95
normal,J,88.31
normal,J,85.11
normal,J,68.24
normal,J,98.54
normal,J,82.07
normal,Uncertain,56.38
normal,G,65.55
normal,Uncertain,39.86
normal,Uncertain,35.08
normal,Uncertain,31.59
normal,Uncertain,56.35
normal,Uncertain,42.42
normal,Uncertain,34.02
normal,Uncertain,45.95
normal,Uncertain,50.49
normal,Uncertain,46.38
normal,A,68.30
normal,Uncertain,37.22
normal,Uncertain,54.37
normal,Uncertain,41.38
normal,Uncertain,49.01
normal,Uncertain,36.76
normal,B,80.33
normal,Uncertain,35.63
normal,Uncertain,30.57
normal,G,67.88
normal,Uncertain,54.17
normal,J,95.10
normal,J,99.20
normal,Uncertain,42.47
normal,G,91.47
normal,Uncertain,47.44
normal,B,96.34
normal,Uncertain,59.96
normal,G,89.65
normal,B,73.04
normal,A,74.09
normal,Uncertain,42.72
normal,Uncertain,54.27
normal,B,64.99
normal,B,71.45
normal,Uncertain,54.90
normal,B,90.77
normal,B,85.67
normal,B,86.57
normal,Uncertain,54.50
normal,Uncertain,51.03
normal,B,74.42
normal,J,70.25
normal,Uncertain,22.16
normal,Uncertain,37.78
normal,Uncertain,53.86
normal,G,78.16
normal,Uncertain,42.81
normal,G,62.79
normal,G,76.96
normal,G,62.55
normal,J,92.98
normal,G,83.51
normal,J,68.38
normal,J,81.49
normal,J,82.40
normal,J,90.85
normal,J,98.92
normal,J,95.23
normal,J,96.67
normal,G,60.67
normal,Uncertain,50.43
normal,Uncertain,55.79
normal,G,64.23
normal,G,72.12
normal,G,67.21
normal,G,72.51
normal,J,63.26
normal,G,78.12
normal,G,71.94
normal,G,65.71
normal,G,73.42
normal,G,95.22
normal,J,99.87
normal,J,98.60
normal,J,74.55
normal,A,62.86
normal,B,65.91
normal,Uncertain,41.39
normal,B,91.52
normal,B,92.72
normal,B,69.99
normal,B,69.97
normal,B,71.67
normal,B,83.10
normal,Uncertain,51.38
normal,Uncertain,53.92
normal,J,99.93
normal,J,99.68
normal,B,78.15
normal,Uncertain,43.25
normal,B,91.09
normal,Uncertain,54.57
normal,B,84.01
normal,B,82.57
normal,Uncertain,40.20
normal,B,61.84
normal,Uncertain,36.46
normal,B,86.03
normal,Uncertain,58.82
normal,B,95.29
normal,B,91.49
normal,B,96.85
normal,B,72.19
normal,B,86.19
normal,B,75.11
normal,B,97.78
normal,B,82.88
normal,B,89.81
normal,B,99.69
normal,B,98.34
normal,B,95.10
normal,B,98.93
normal,B,89.16
normal,Uncertain,57.30
normal,J,90.56
